,,,,,,,,,,toss
5.405911,4.314651,6.194567,3.356262,3.897612,5.091338,5.326072,2.968982,5.652665,2.207104,1.000000
4.175473,4.524646,6.246790,4.815394,4.531882,4.600763,3.420978,4.216046,5.973116,3.516196,1.000000
5.186411,4.497715,6.358828,4.577420,5.031761,2.360110,3.603518,4.270131,5.176194,4.650642,1.000000
5.037713,4.209184,6.298528,5.405301,4.032890,5.428140,5.682532,4.427572,3.473881,3.993564,1.000000
3.960782,4.558390,6.185712,4.253940,4.515517,6.006920,2.768931,5.012351,5.516198,6.249362,1.000000
4.602857,4.505518,6.249601,4.447681,6.238934,5.874363,4.812765,3.488619,4.882820,2.818363,1.000000
4.543747,4.557859,5.976942,7.059752,6.686143,4.731727,3.178137,4.150605,4.857538,3.894227,1.000000
4.309642,4.598922,6.330055,4.224000,5.244731,4.422996,4.615096,4.620883,6.189849,3.487680,1.000000
3.944143,4.396570,6.239375,4.751377,5.057144,4.129792,4.397924,4.778239,5.418934,3.414425,1.000000
4.179144,4.174273,6.250202,3.439850,3.408685,4.095551,4.549996,5.146084,5.894237,5.411965,1.000000
4.474090,4.251732,6.334789,3.680710,5.565901,5.364848,6.841299,3.567044,3.333278,5.918911,1.000000
4.601333,4.221915,6.374449,3.428635,4.868950,3.491462,5.612248,6.530954,4.854541,2.617809,1.000000
3.935582,4.412777,6.047034,4.722820,3.982770,2.890387,5.683170,6.054453,4.174782,4.898149,1.000000
4.428950,4.457334,6.261021,4.156333,3.877106,4.668534,5.872741,4.984702,5.395562,4.686600,1.000000
3.791282,4.465867,6.131456,4.803264,6.366403,5.354901,3.952839,4.783227,3.553681,5.615708,1.000000
4.552271,4.644815,6.136960,2.923660,4.498303,4.120591,4.550099,6.660401,6.466998,3.980191,1.000000
4.231503,4.460401,6.295248,4.253364,6.012131,4.192064,5.182559,2.222659,5.626022,3.930060,1.000000
5.267163,4.743322,6.326638,3.521245,4.649120,5.300501,4.985021,3.058736,6.053038,5.584149,1.000000
4.675825,4.166057,6.091820,4.171288,3.861907,3.855677,5.093666,4.795636,4.809047,5.167273,1.000000
7.189914,4.319445,6.057212,5.364791,3.922720,5.099885,4.371945,4.869348,4.489047,4.665212,1.000000
6.094328,4.634692,6.243550,5.623694,4.673617,5.032557,4.743008,4.155645,5.907832,3.839662,1.000000
5.799390,4.560729,6.208986,2.306506,5.808037,2.910970,4.705984,5.385123,3.854401,2.855850,1.000000
5.178074,4.436686,6.390874,4.824820,4.612567,6.242446,5.384367,3.608198,5.636775,3.218660,1.000000
5.086378,4.434655,6.409992,5.614765,5.651651,5.046533,4.282916,4.004617,5.249295,5.208017,1.000000
3.770906,4.368848,5.981778,4.941681,3.681020,4.966832,4.890775,4.549453,4.270323,4.975071,1.000000
4.481915,4.135653,6.151893,4.282623,4.696000,4.113374,4.790190,5.831334,4.903919,3.868222,1.000000
2.215878,4.525645,6.335942,4.200391,3.661819,5.327736,5.576881,4.333933,5.113519,5.692711,1.000000
6.805235,4.336299,6.085868,3.726866,5.133635,5.698998,4.582589,4.446624,4.433222,6.163621,1.000000
4.439976,4.427573,6.596629,5.634470,3.634727,5.477890,3.430094,4.349750,4.780496,4.042833,1.000000
4.150858,4.293414,6.352224,4.531007,3.779385,5.107672,4.489749,3.646505,6.687982,6.182368,1.000000
3.977354,4.384543,6.230395,5.956339,4.571460,4.766410,3.683318,5.187320,4.081169,4.069791,1.000000
3.224675,4.495172,6.089790,4.792968,6.570292,5.733914,3.911574,5.358075,3.937738,4.471129,1.000000
4.782100,4.268932,6.611207,3.885491,5.772424,5.012447,6.323473,3.557405,4.647591,4.518210,1.000000
5.863382,4.395525,6.155843,4.792118,3.005860,4.565973,4.746235,3.745611,4.978317,4.723886,1.000000
5.901487,4.288481,6.095780,4.997160,3.746312,3.233931,4.058214,3.580719,3.943368,5.146417,1.000000
4.557663,4.447276,6.363135,4.416446,5.370537,6.184246,4.423789,4.620000,3.701584,4.508868,1.000000
4.448252,4.300082,6.165076,6.168861,4.262702,2.750094,3.778041,4.667737,3.921163,3.441446,1.000000
4.120990,4.226831,6.051918,4.568459,5.727915,3.696420,3.448932,6.001226,4.091092,4.698227,1.000000
5.986225,4.463246,6.156588,4.657617,4.792386,5.588974,5.757339,5.104058,6.770835,3.924630,1.000000
4.812657,4.425022,6.232217,4.923140,4.701030,7.589229,4.470141,4.062611,4.506170,4.548905,1.000000
4.825197,4.340203,6.274772,6.041516,5.822976,3.128054,5.071742,4.304792,4.012806,4.421481,1.000000
6.205892,4.281439,6.129222,4.058963,6.430143,5.946402,5.137487,3.476611,4.280628,4.347070,1.000000
4.287070,4.331981,6.203763,6.498427,4.222442,5.190266,4.530275,3.139582,4.529826,3.728707,1.000000
3.433790,4.231590,6.251481,5.970102,5.346696,4.316815,6.412750,5.094708,4.911178,5.520163,1.000000
5.553891,4.462824,6.208408,4.762640,7.061338,3.524373,6.837785,4.488600,4.641081,1.121002,1.000000
4.581348,4.520608,6.178055,3.620254,3.380686,4.976632,5.523437,4.617161,4.562426,5.766073,1.000000
3.543789,4.321918,6.448727,5.321693,6.916745,5.876136,3.373132,5.344835,3.556855,5.519645,1.000000
5.221307,4.401761,6.380416,4.951447,4.031864,5.816878,5.048756,4.009009,3.950438,4.100427,1.000000
4.573054,4.405319,6.041044,5.010557,2.245965,3.429849,3.580004,3.674729,5.679947,4.751575,1.000000
3.672288,4.248595,6.093989,5.861326,4.557049,4.266753,5.050445,5.541283,4.328656,4.275512,1.000000
4.377671,4.456451,6.226110,2.109595,3.430942,5.038942,5.325274,4.987329,3.628443,3.352942,1.000000
3.668387,4.441658,6.365589,3.751820,4.961570,4.242305,4.848920,4.452153,4.116342,2.365360,1.000000
4.899533,4.376243,6.516635,5.903862,2.169441,5.298778,3.505393,5.667195,4.218199,6.822601,1.000000
3.533223,4.213394,6.284321,4.914234,7.341446,4.883078,4.948139,3.910265,6.145493,5.632019,1.000000
4.140227,4.662317,6.374103,4.214597,3.516769,4.391673,5.545614,5.028146,2.181858,5.488883,1.000000
5.110778,4.357923,6.304485,3.960020,4.662709,3.308933,4.751099,4.778277,4.028978,4.784841,1.000000
6.113456,4.358629,6.322916,5.082421,4.007126,4.928815,4.656046,4.164664,5.122945,4.887926,1.000000
4.841121,4.392532,6.170341,4.473783,4.819964,5.075102,6.606120,5.795640,3.126548,2.303214,1.000000
5.321544,4.468298,6.139057,2.776890,4.225462,5.707084,5.662127,4.225579,5.002746,4.872250,1.000000
4.395868,4.202628,6.260880,4.638579,5.104896,4.102318,6.138941,4.767338,3.595762,4.359264,1.000000
3.707053,4.436122,6.251758,6.195749,4.100730,4.610264,5.800856,4.277277,4.665071,4.130289,1.000000
3.781624,4.203593,6.058733,2.336981,3.925571,3.320706,3.807492,4.426852,6.472306,4.586124,1.000000
4.109726,4.100034,6.188668,6.355402,4.314461,4.744352,4.856308,5.652166,3.912492,3.804714,1.000000
5.402673,4.364521,6.259816,3.474689,5.125927,5.037772,6.213626,4.772928,5.384643,4.666566,1.000000
4.062466,4.493393,6.290337,7.743424,2.650585,3.623693,3.357693,5.178962,6.962882,5.728951,1.000000
4.202294,4.279907,6.478104,4.619852,3.708287,5.318171,3.808240,4.697059,4.810582,2.211629,1.000000
4.195429,4.501160,6.352204,4.588263,4.195504,4.483452,3.365695,5.309063,5.989512,5.713555,1.000000
4.258347,4.390510,6.363689,4.076130,4.371635,4.616438,5.730389,5.347441,3.989797,3.856503,1.000000
5.276436,4.400585,5.915375,5.706057,5.138281,2.671460,4.740650,3.565099,3.554424,3.655894,1.000000
5.239983,4.295231,6.483962,4.953624,4.666513,4.870831,4.601083,3.016012,5.046929,4.933727,1.000000
3.540957,4.334771,6.336011,5.682036,4.379922,4.780754,4.701990,3.847378,4.638388,4.637285,1.000000
4.443768,4.364710,6.113932,4.127106,6.538922,3.453413,4.098490,4.503362,4.470053,4.053156,1.000000
4.899755,4.312675,6.276539,5.218485,5.012558,5.256175,5.846994,3.003361,3.215856,4.428824,1.000000
4.648982,4.348004,6.250435,4.092486,5.620606,4.817240,5.417490,2.122290,5.111096,6.868857,1.000000
4.040313,4.572070,6.306243,5.363451,4.664847,3.971305,4.670796,5.558877,4.470977,5.652917,1.000000
3.794854,4.289222,6.367001,5.146787,3.749115,3.101646,3.972283,3.521081,3.355856,4.905133,1.000000
4.760007,4.359909,6.056318,5.789263,5.175379,4.526903,4.485367,6.911618,5.217882,4.211006,1.000000
5.069594,4.541479,6.258965,5.793196,4.882110,3.661653,5.626247,4.959750,5.316017,4.686690,1.000000
5.398712,4.663859,6.496521,3.197629,3.105096,3.467757,4.993063,4.680456,5.636005,5.391300,1.000000
5.938220,4.425270,6.259122,5.064316,3.990931,5.154682,5.110389,3.830236,2.801319,4.533337,1.000000
4.687914,4.405544,6.139918,3.394462,2.998192,4.683320,3.786770,3.170719,4.587148,2.788980,1.000000
6.185628,4.383609,6.261690,6.178348,5.271927,5.588170,5.849498,3.385015,4.771877,6.112075,1.000000
4.448401,4.646570,6.539415,4.962926,2.625537,4.325623,4.449844,5.547755,3.750192,3.290048,1.000000
3.477884,4.457927,6.455741,4.434921,5.928643,4.468374,5.774715,4.339223,2.185630,5.451055,1.000000
3.874341,4.410247,6.269839,5.840206,6.647367,3.781800,3.241221,4.345037,3.013475,4.965335,1.000000
4.443580,4.251150,6.042467,4.182441,5.484499,4.695665,4.613108,4.723059,4.179126,5.159012,1.000000
5.361006,4.736952,6.259739,4.218706,6.257088,5.902316,4.830060,6.339555,4.255222,5.095679,1.000000
3.506792,4.410508,6.245622,4.001572,3.931885,4.517821,3.657828,3.871956,6.704015,5.085182,1.000000
6.298305,4.249955,6.185319,4.353313,5.902193,4.250506,4.130756,4.430185,3.832910,3.896459,1.000000
3.445436,4.371264,6.556576,3.267992,5.044831,4.357612,4.770188,3.604923,4.008880,5.484651,1.000000
4.759926,4.400379,6.276171,3.053517,4.509734,3.757450,4.468203,5.099623,3.771242,5.720338,1.000000
5.992380,4.379249,6.297527,4.919985,4.471162,4.566330,5.273710,3.721304,5.122329,3.470070,1.000000
4.797474,4.413790,6.323574,3.239411,3.810820,4.246887,5.496479,6.439059,5.497312,4.967529,1.000000
3.328259,4.403997,6.319455,5.207798,4.805805,4.167256,5.867930,3.943795,5.179825,5.874437,1.000000
4.228386,4.235656,6.419746,6.096128,4.505474,3.219120,3.447531,7.191685,3.323349,4.192201,1.000000
4.161152,4.361334,6.542068,5.799266,4.198261,4.440570,3.520287,3.218424,6.164632,3.502330,1.000000
3.943009,4.342775,6.392603,3.169233,5.435409,4.081043,3.785380,4.798737,4.601062,5.469457,1.000000
2.304946,4.446844,6.262530,6.030714,5.151283,5.006049,4.181614,4.293568,5.935294,5.197013,1.000000
4.388626,4.291140,6.443206,4.947489,6.334197,5.418905,3.702985,4.081817,2.549799,7.174054,1.000000
6.045533,4.288875,6.234203,3.786607,5.139418,3.783999,4.264273,4.293501,4.474541,4.948253,1.000000
4.659327,6.002799,5.355186,5.611871,4.952583,3.692531,6.277678,5.764568,5.208415,4.572412,2.000000
4.658589,5.692486,5.322340,4.326126,5.217869,4.284799,5.967732,4.026555,3.885188,5.085516,2.000000
3.394526,5.940896,5.069789,3.700961,4.583504,4.832969,5.192614,4.455027,4.762209,5.301855,2.000000
3.011975,6.188278,5.270282,4.219321,5.232356,4.699743,5.406605,5.085418,4.671455,6.128421,2.000000
4.692804,6.115666,5.003643,3.233731,4.991673,3.828133,4.850884,5.590139,5.460124,5.441894,2.000000
4.446758,5.783351,5.069076,5.426757,4.207119,4.040925,5.377497,5.331439,4.292586,6.035427,2.000000
