,,,toss
2.997101,3.724533,5.310037,1.000000
5.098655,3.208298,5.265994,1.000000
3.400184,3.454055,5.057897,1.000000
4.779013,3.281718,5.161155,1.000000
4.027751,3.323586,5.137548,1.000000
5.040577,3.342339,5.379379,1.000000
2.869848,3.456926,5.373117,1.000000
4.863342,3.419625,5.257043,1.000000
4.718912,3.516885,5.305012,1.000000
5.429048,3.244551,5.210931,1.000000
4.198391,3.444610,5.263062,1.000000
4.519749,3.398405,5.403685,1.000000
4.546254,3.298875,5.127113,1.000000
4.375641,3.289853,5.174447,1.000000
5.825193,3.382359,5.343634,1.000000
2.448568,3.311271,5.382993,1.000000
4.545405,3.279853,5.230393,1.000000
3.040183,3.464059,4.979816,1.000000
4.887934,3.362088,5.114786,1.000000
5.147951,3.343678,5.600756,1.000000
3.912644,3.303795,5.329361,1.000000
4.891785,3.354853,5.032970,1.000000
2.841104,3.455165,5.254614,1.000000
3.516122,3.245382,5.202146,1.000000
4.595611,3.400810,5.272344,1.000000
4.617580,3.294376,5.428167,1.000000
3.993275,3.357516,5.165893,1.000000
2.629402,3.455723,5.221584,1.000000
2.879086,3.445176,5.314749,1.000000
3.533595,3.344645,5.151975,1.000000
3.555622,3.412648,5.327799,1.000000
3.318877,3.239757,5.192376,1.000000
2.897698,3.480592,5.333009,1.000000
2.442420,3.354188,5.243839,1.000000
3.656316,3.539894,5.508557,1.000000
5.333673,3.400007,5.121702,1.000000
4.917043,3.184996,5.084635,1.000000
4.723259,3.447287,5.298031,1.000000
5.103875,3.422957,5.320714,1.000000
5.518759,3.330509,5.396420,1.000000
2.853910,3.378239,5.093194,1.000000
4.411674,3.327944,5.224165,1.000000
2.921185,3.524385,5.314572,1.000000
3.601691,3.253863,5.307428,1.000000
4.581987,3.612450,5.386510,1.000000
3.746716,3.465143,5.628396,1.000000
5.086632,3.329261,5.313366,1.000000
4.647497,3.298202,5.337283,1.000000
4.866221,3.266592,5.368613,1.000000
3.892750,3.220132,5.466248,1.000000
3.252181,3.335194,5.457241,1.000000
4.712855,3.669997,5.373937,1.000000
4.426090,3.332737,5.106350,1.000000
3.250472,3.229577,5.493671,1.000000
5.226209,3.443191,5.347034,1.000000
4.909964,3.379712,5.469206,1.000000
4.303060,3.526614,5.236978,1.000000
5.966742,3.521479,5.078900,1.000000
4.001007,3.410867,5.383100,1.000000
3.612393,3.699520,5.428697,1.000000
4.304249,3.337572,5.482735,1.000000
2.602736,3.510334,5.418141,1.000000
3.971540,3.253177,5.192960,1.000000
4.755775,3.113931,5.279535,1.000000
4.417751,3.404688,5.454883,1.000000
4.559492,3.434377,5.054410,1.000000
5.221587,3.414178,5.499825,1.000000
4.845341,3.399223,5.177399,1.000000
4.565038,3.273696,5.371819,1.000000
4.293176,3.600935,5.545121,1.000000
4.879002,3.367789,5.149454,1.000000
3.713695,3.337047,5.467640,1.000000
4.727859,3.450294,5.295813,1.000000
4.446034,3.342756,5.451503,1.000000
1.543867,3.295800,5.212528,1.000000
3.486929,3.450019,5.380209,1.000000
4.927872,3.170036,5.052881,1.000000
2.832139,3.363593,5.467203,1.000000
4.108201,3.396608,5.369577,1.000000
4.947407,3.428620,5.137386,1.000000
3.435401,3.395853,5.489969,1.000000
3.246784,3.399592,5.543096,1.000000
5.370826,3.406309,5.568788,1.000000
3.639185,3.074219,5.358068,1.000000
4.692470,3.482747,4.839521,1.000000
4.058062,3.346028,5.467768,1.000000
3.670824,3.490410,5.427498,1.000000
4.940010,3.583075,5.365729,1.000000
3.981646,3.465038,5.524821,1.000000
3.478640,3.446142,5.392325,1.000000
3.879912,3.301569,5.223009,1.000000
4.666817,3.286427,5.182406,1.000000
3.053458,3.321245,5.589513,1.000000
3.623250,3.352083,5.166931,1.000000
3.599013,3.571111,5.135307,1.000000
6.528454,3.501054,5.111069,1.000000
2.546945,3.602163,5.268949,1.000000
5.619023,3.377631,5.337860,1.000000
3.979488,3.465482,5.234618,1.000000
2.858654,3.293840,5.113017,1.000000
3.540740,5.162748,4.699355,2.000000
5.463330,5.390767,4.230759,2.000000
3.569366,5.491945,4.131585,2.000000
3.530561,5.061413,4.423237,2.000000
4.854378,5.172147,4.514875,2.000000
5.385869,5.358025,4.265096,2.000000
5.324396,5.025916,4.371763,2.000000
2.153900,5.360587,4.485283,2.000000
4.889570,5.325128,4.449589,2.000000
2.957126,5.338301,4.558632,2.000000
3.165214,5.335363,4.768562,2.000000
3.444793,5.336925,4.422691,2.000000
4.207707,5.279085,4.492869,2.000000
5.133115,5.378060,4.489851,2.000000
4.350409,5.254434,4.355947,2.000000
4.487339,5.452063,4.457694,2.000000
4.745131,5.271413,4.557368,2.000000
5.068452,5.252495,4.500280,2.000000
5.940082,5.303199,4.555599,2.000000
4.486510,5.267818,4.662554,2.000000
3.430177,5.335605,4.517501,2.000000
4.545787,5.351362,4.496038,2.000000
3.876110,5.395748,4.298290,2.000000
1.601098,5.286286,4.591017,2.000000
4.339916,5.258180,4.305163,2.000000
3.607337,5.472763,4.336872,2.000000
3.414250,5.490634,4.155310,2.000000
4.398705,5.313778,4.404717,2.000000
4.879502,5.332884,4.559621,2.000000
5.737669,5.274504,4.704671,2.000000
3.381290,5.491084,4.433808,2.000000
5.330215,5.379342,4.516088,2.000000
4.143650,5.142765,4.497330,2.000000
5.539486,5.406491,4.351004,2.000000
4.817602,5.285946,4.690565,2.000000
2.772498,5.423910,4.323279,2.000000
3.935026,5.224230,4.258049,2.000000
2.554780,5.453587,4.495090,2.000000
5.244661,5.191008,4.563096,2.000000
4.269857,5.173956,4.451849,2.000000
5.146255,5.348512,4.342761,2.000000
2.670144,5.275930,4.450104,2.000000
2.927743,5.366712,4.304777,2.000000
4.020464,5.193231,4.185343,2.000000
3.081679,5.363062,4.563689,2.000000
1.812821,5.492379,4.308028,2.000000
4.898495,5.470324,4.694962,2.000000
4.571082,5.507328,4.400086,2.000000
2.566655,5.718198,4.573774,2.000000
4.262227,5.223715,4.275433,2.000000
3.235868,5.211800,4.152763,2.000000
3.859965,5.458554,4.279521,2.000000
5.449879,5.464372,4.534024,2.000000
3.541099,5.467119,4.423587,2.000000
5.928112,5.383492,4.407649,2.000000
4.392640,5.336517,4.248486,2.000000
5.026963,5.297573,4.507859,2.000000
5.094414,5.298850,4.392470,2.000000
4.416423,5.311261,4.302547,2.000000
4.195815,5.287317,4.509285,2.000000
5.647114,5.340300,4.510222,2.000000
4.606849,5.147819,4.550751,2.000000
4.112713,5.411039,4.447470,2.000000
3.152026,5.417962,4.419479,2.000000
1.181654,5.343890,4.343328,2.000000
3.003650,5.345242,4.170424,2.000000
3.282602,5.410385,4.532790,2.000000
2.682767,5.226080,4.506395,2.000000
5.678459,5.436982,4.600592,2.000000
5.546681,5.151257,4.715336,2.000000
2.226237,5.318052,4.267758,2.000000
4.554911,5.321001,4.360309,2.000000
1.401184,5.190496,4.745562,2.000000
3.447560,5.301928,4.505456,2.000000
2.797094,5.321206,4.381050,2.000000
1.797309,5.167109,4.293839,2.000000
3.732478,5.180814,4.384298,2.000000
1.922909,5.444194,4.560583,2.000000
3.521786,5.042110,4.439479,2.000000
2.676269,5.384607,4.598680,2.000000
1.361521,5.370498,4.386818,2.000000
3.189759,5.372856,4.650307,2.000000
3.689131,5.374754,4.703016,2.000000
5.407902,5.142419,4.394346,2.000000
4.852299,5.127173,4.486969,2.000000
4.000103,5.193930,4.436981,2.000000
3.316315,5.395937,4.597061,2.000000
3.871749,5.368635,4.400520,2.000000
3.880333,5.331336,4.456379,2.000000
5.689548,5.424453,4.439212,2.000000
4.745385,5.191082,4.496600,2.000000
4.334198,5.219961,4.374941,2.000000
3.128536,5.477056,4.594564,2.000000
4.364428,5.383078,4.336566,2.000000
4.353074,5.246951,4.628388,2.000000
3.858106,5.199393,4.618956,2.000000
4.263394,5.225765,4.346384,2.000000
2.803148,5.370085,4.531536,2.000000
4.083500,5.273084,4.511277,2.000000
3.820451,5.326911,4.433622,2.000000
3.808833,2.615790,2.748769,3.000000
6.328593,2.618788,2.862560,3.000000
4.218633,2.778512,2.851087,3.000000
3.394171,2.718737,2.936317,3.000000
3.591615,2.568480,2.704822,3.000000
4.252441,2.676737,2.479156,3.000000
1.000000,2.749306,2.579779,3.000000
3.425215,2.653564,2.896141,3.000000
4.268066,2.688008,2.316351,3.000000
3.153133,2.747181,2.873976,3.000000
